,Unnamed: 0,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY,timestamp,hour,month,weekday
13528,2148,20007735,08/17/2022 02:23:00 PM,MISDEMEANORS MISCELLANEOUS,399,"900 WESTMOUNT DR, WEST HOLLYWOOD, CA",-118.379,34.088,2,2022-08-17 14:23:00,14,8,2
13529,2149,19983711,08/02/2022 11:45:00 AM,MISDEMEANORS MISCELLANEOUS,399,"7800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.359,34.09,2,2022-08-02 11:45:00,11,8,1
13530,2225,20008833,08/28/2022 11:10:00 PM,FORGERY,107,"FOUNTAIN AVE AND GARDNER ST, WEST HOLLYWOOD, CA",-118.352,34.094,2,2022-08-28 23:10:00,23,8,6
13531,2232,19990557,08/09/2022 06:59:00 AM,LARCENY THEFT,383,"1000 N FULLER AVE, WEST HOLLYWOOD, CA 90069",-118.349,34.089,1,2022-08-09 06:59:00,6,8,1
13532,2262,20011076,08/29/2022 07:50:00 AM,VANDALISM,263,"500 FLORES AVE, WEST HOLLYWOOD, CA 90069",-118.371,34.08,2,2022-08-29 07:50:00,7,8,0
13533,2267,19798564,01/08/2022 02:58:00 AM,LARCENY THEFT,89,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.373,34.094,1,2022-01-08 02:58:00,2,1,5
13534,2310,20011861,09/01/2022 01:42:21 AM,LARCENY THEFT,89,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.385,34.084,1,2022-09-01 01:42:21,1,9,3
13535,2319,19793798,01/03/2022 01:45:00 AM,LARCENY THEFT,340,"900 LARRABEE ST, WEST HOLLYWOOD, CA 90069",-118.384,34.088,1,2022-01-03 01:45:00,1,1,0
13536,2344,19960912,07/07/2022 08:40:00 PM,DRUNK / ALCOHOL / DRUGS,201,"800 N KINGS RD, WEST HOLLYWOOD, CA 90069",-118.372,34.085,2,2022-07-07 20:40:00,20,7,3
13537,2443,19908242,05/03/2022 10:30:00 PM,LARCENY THEFT,340,"9000 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.386,34.082,1,2022-05-03 22:30:00,22,5,1
13538,2541,20029279,09/18/2022 01:15:00 AM,LARCENY THEFT,81,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.083,1,2022-09-18 01:15:00,1,9,6
13539,2588,20029430,09/18/2022 06:50:00 PM,SEX OFFENSES MISDEMEANORS,130,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.344,34.09,2,2022-09-18 18:50:00,18,9,6
13540,2596,20007275,08/26/2022 05:02:30 PM,NON-AGGRAVATED ASSAULTS,144,"FULLER AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.35,34.09,2,2022-08-26 17:02:30,17,8,4
13541,2655,19946076,05/05/2022 01:20:30 PM,LARCENY THEFT,387,"1200 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA 90046",-118.365,34.094,1,2022-05-05 13:20:30,13,5,3
13542,2715,19866025,03/22/2022 06:50:00 PM,NARCOTICS,183,"8500 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.378,34.088,2,2022-03-22 18:50:00,18,3,1
13543,2762,19896869,04/27/2022 10:58:00 PM,LARCENY THEFT,340,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.381,34.085,1,2022-04-27 22:58:00,22,4,2
13544,2764,19812257,01/20/2022 02:19:00 AM,DRUNK / ALCOHOL / DRUGS,201,"900 WEST KNOLL DR, WEST HOLLYWOOD, CA 90069",-118.377,34.087,2,2022-01-20 02:19:00,2,1,3
13545,2803,19936550,06/11/2022 12:13:00 PM,LARCENY THEFT,387,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.084,1,2022-06-11 12:13:00,12,6,5
13546,2864,20042156,08/04/2022 11:59:30 AM,LARCENY THEFT,387,"7500 LEXINGTON AVE, WEST HOLLYWOOD, CA 90046",-118.353,34.092,1,2022-08-04 11:59:30,11,8,3
13547,2909,19822034,01/29/2022 11:00:00 PM,LARCENY THEFT,340,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.375,34.094,1,2022-01-29 23:00:00,23,1,5
