,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
11471,18497269,02/21/2018 06:40:00 PM,DRUNK / ALCOHOL / DRUGS,201,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.085,2
11473,18497317,02/21/2018 07:20:00 PM,DRUNK / ALCOHOL / DRUGS,201,"LA CIENEGA BLVD AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.376,34.089,2
11489,18476389,02/02/2018 01:25:00 PM,LARCENY THEFT,383,"8600 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.38,34.082,1
11490,18475998,02/02/2018 06:20:00 AM,BURGLARY,74,"1100 FAIRFAX AVE, WEST HOLLYWOOD, CA",-118.361,34.091,1
11530,18633404,07/08/2018 10:30:00 PM,CRIMINAL HOMICIDE,11,"8700 SHOREHAM DR, WEST HOLLYWOOD, CA",-118.382,34.091,1
11575,18591142,05/25/2018 11:00:00 PM,FELONIES MISCELLANEOUS,339,"700 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.084,2
11579,18598719,06/03/2018 03:48:00 AM,BURGLARY,62,"8800 BETTY WAY, WEST HOLLYWOOD, CA  90069",-118.383,34.087,1
11725,18671419,08/18/2018 02:05:00 AM,LARCENY THEFT,389,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA  90038",-118.385,34.082,1
11952,18655110,08/01/2018 11:05:00 AM,OFFENSES AGAINST FAMILY,175,"1200 FULLER AVE, LOS ANGELES, CA  90046",-118.349,34.092,2
12042,18493718,02/18/2018 12:30:00 AM,LARCENY THEFT,340,"8900 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.386,34.09,1
12121,18452803,01/07/2018 06:23:00 PM,FORGERY,103,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.083,2
12137,18545030,04/11/2018 04:45:00 PM,LARCENY THEFT,340,"MELROSE AVE AND WESTMOUNT AVE, WEST HOLLYWOOD, CA",-118.378,34.081,1
12155,18779310,12/11/2018 05:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"1000 HAMMOND ST, WEST HOLLYWOOD, CA  90069",-118.387,34.089,2
12461,18638837,07/14/2018 04:30:00 PM,AGGRAVATED ASSAULT,53,"HACIENDA PL AND HOLLOWAY DR, WEST HOLLYWOOD, CA",-118.375,34.09,1
12522,18472169,01/30/2018 01:00:00 AM,LARCENY THEFT,384,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.383,34.085,1
12561,18690588,09/07/2018 09:09:25 AM,NARCOTICS,183,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.367,34.09,2
12621,18712970,10/01/2018 02:30:00 AM,NON-AGGRAVATED ASSAULTS,146,"SANTA MONICA BLVD AND ROBERTSON BLVD, WEST HOLLYWOOD, CA",-118.385,34.084,2
12671,18605345,06/09/2018 03:52:30 PM,BURGLARY,64,"1000 SWEETZER AVE, WEST HOLLYWOOD, CA  90048",-118.37,34.089,1
12702,18478309,02/05/2018 12:50:00 AM,VANDALISM,263,"8000 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.365,34.09,2
12757,18471791,01/28/2018 07:45:00 PM,LARCENY THEFT,389,"600 LA CIENEGA BLVD, WEST HOLLYWOOD, CA",-118.376,34.082,1
12798,18704076,06/16/2018 12:00:00 AM,FORCIBLE RAPE,21,"8300 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.37,34.095,1
12799,18443527,12/21/2017 03:00:00 AM,BURGLARY,71,"1200 HARPER AVE, WEST HOLLYWOOD, CA  90046",-118.368,34.093,1
12908,18521535,03/17/2018 09:05:00 PM,LARCENY THEFT,340,"1000 HAVENHURST DR, WEST HOLLYWOOD, CA  90046",-118.367,34.089,1
12955,18497395,02/20/2018 10:30:00 PM,LARCENY THEFT,89,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
13020,18519380,03/11/2018 04:30:00 PM,BURGLARY,65,"500 N KINGS RD, WEST HOLLYWOOD, CA  90069",-118.371,34.08,1
13056,18579213,05/14/2018 11:17:30 PM,LARCENY THEFT,340,"1200 SWEETZER AVE, WEST HOLLYWOOD, CA  90069",-118.369,34.093,1
13121,18470378,01/28/2018 01:45:00 AM,NON-AGGRAVATED ASSAULTS,144,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.083,2
13130,18478233,02/04/2018 10:00:00 PM,VANDALISM,261,"8400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.373,34.09,2
13168,18522870,03/17/2018 07:45:00 PM,LARCENY THEFT,384,"900 N GARDNER ST, WEST HOLLYWOOD, CA  90046",-118.353,34.087,1
13173,18474440,02/01/2018 12:37:42 AM,MISDEMEANORS MISCELLANEOUS,399,"1000 CURSON AVE, WEST HOLLYWOOD, CA  90046",-118.355,34.089,2
13179,18458637,01/10/2018 05:09:00 PM,BURGLARY,72,"1000 N DOHENY DR, WEST HOLLYWOOD, CA  90069",-118.389,34.089,1
13301,18558028,04/11/2018 12:29:00 PM,LARCENY THEFT,386,"500 NORWICH AVE, WEST HOLLYWOOD, CA  90069",-118.381,34.08,1
13327,18449212,01/07/2018 01:45:00 AM,AGGRAVATED ASSAULT,53,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.085,1
13394,18739444,10/28/2018 01:10:00 AM,AGGRAVATED ASSAULT,53,"8900 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.09,1
13442,18783877,12/13/2018 05:00:00 AM,BURGLARY,71,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
13444,18775496,12/07/2018 01:25:00 AM,LARCENY THEFT,84,"600 ORLANDO AVE, WEST HOLLYWOOD, CA  90069",-118.373,34.082,1
13519,18471821,01/29/2018 04:41:00 PM,BURGLARY,75,"7400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.352,34.09,1
13547,18449581,01/04/2018 06:50:00 PM,NON-AGGRAVATED ASSAULTS,144,"300 N ROBERTSON BLVD, WEST HOLLYWOOD, CA",-118.383,34.078,2
13638,18506918,03/04/2018 01:14:00 AM,CRIMINAL HOMICIDE,11,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
13657,18718349,10/06/2018 02:10:00 AM,NON-AGGRAVATED ASSAULTS,144,"8300 BEVERLY BLVD, WEST HOLLYWOOD, CA  90069",-118.37,34.076,2
13679,18528870,03/25/2018 07:58:00 PM,NON-AGGRAVATED ASSAULTS,144,"HANCOCK AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.381,34.086,2
13785,18483324,02/07/2018 01:00:00 AM,LARCENY THEFT,340,"900 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.088,1
13847,18500756,02/16/2018 06:00:00 AM,LARCENY THEFT,89,"800 HUNTLEY DR, WEST HOLLYWOOD, CA  90069",-118.38,34.085,1
13985,18577816,05/13/2018 12:56:30 PM,BURGLARY,64,"9000 HARLAND AVE, WEST HOLLYWOOD, CA",-118.388,34.082,1
14066,18701369,09/18/2018 04:04:00 PM,BURGLARY,75,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
14118,18480306,02/06/2018 07:37:30 PM,LARCENY THEFT,383,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.383,34.085,1
14121,18464427,01/21/2018 02:15:00 AM,NON-AGGRAVATED ASSAULTS,144,"PALM AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.382,34.086,2
14261,18464680,01/22/2018 05:30:00 PM,LARCENY THEFT,340,"8600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.379,34.087,1
14312,18607272,06/11/2018 06:53:30 PM,LARCENY THEFT,340,"1100 DETROIT ST, WEST HOLLYWOOD, CA",-118.344,34.091,1
14321,18481023,12/05/2017 11:30:00 PM,BURGLARY,71,"8000 NORTON AVE, WEST HOLLYWOOD, CA  90069",-118.365,34.092,1
14331,18472728,01/29/2018 01:00:00 PM,BURGLARY,74,"1000 N DOHENY DR, WEST HOLLYWOOD, CA",-118.389,34.089,1
14337,18468394,01/25/2018 08:30:00 PM,AGGRAVATED ASSAULT,53,"8400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.375,34.09,1
14449,18606046,06/10/2018 03:39:00 PM,LARCENY THEFT,383,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.083,1
14470,18603756,06/07/2018 09:37:30 PM,LARCENY THEFT,340,"8300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.37,34.09,1
14541,18456162,01/14/2018 12:30:00 AM,NON-AGGRAVATED ASSAULTS,144,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.393,34.09,2
14874,18640253,07/16/2018 01:00:00 PM,OFFENSES AGAINST FAMILY,174,"SANTA MONICA BLVD AND LA CIENEGA BLVD, WEST HOLLYWOOD, CA",-118.376,34.089,2
14877,18643250,07/19/2018 12:00:00 PM,GRAND THEFT AUTO,92,"700 WESTBOURNE DR, WEST HOLLYWOOD, CA  90069",-118.379,34.083,1
14922,18770975,12/02/2018 02:52:47 PM,NON-AGGRAVATED ASSAULTS,144,"1200 N LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.093,2
14937,18483511,02/08/2018 09:35:00 PM,ROBBERY,45,"900 OGDEN DR, WEST HOLLYWOOD, CA  90046",-118.359,34.087,1
14967,18540699,04/07/2018 12:22:30 AM,LARCENY THEFT,340,"800 WESTBOURNE DR, WEST HOLLYWOOD, CA  90069",-118.379,34.086,1
14985,18480688,02/07/2018 03:20:00 AM,LARCENY THEFT,340,"900 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.087,1
15026,18567544,05/03/2018 01:20:00 AM,NON-AGGRAVATED ASSAULTS,146,"900 GENESEE AVE, WEST HOLLYWOOD, CA  90046",-118.358,34.088,2
15082,18638790,07/13/2018 12:00:00 AM,LARCENY THEFT,387,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.085,1
15094,18495619,02/20/2018 09:20:00 AM,NON-AGGRAVATED ASSAULTS,144,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.083,2
15132,18481465,02/07/2018 09:22:30 PM,LARCENY THEFT,340,"8700 BEVERLY BLVD, WEST HOLLYWOOD, CA",-118.383,34.077,1
15224,18513472,03/11/2018 07:32:00 AM,BURGLARY,75,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.373,34.095,1
15305,18621325,06/23/2018 02:45:00 PM,LARCENY THEFT,384,"8800 CYNTHIA ST, WEST HOLLYWOOD, CA  90069",-118.383,34.087,1
15307,18620681,03/02/2018 12:00:00 PM,FORGERY,107,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.384,34.085,2
15333,18478261,02/04/2018 09:05:00 PM,VANDALISM,263,"HANCOCK AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.381,34.086,2
15334,18464823,01/22/2018 07:05:00 PM,LARCENY THEFT,340,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
15486,18586175,05/17/2018 02:53:00 PM,LARCENY THEFT,89,"7900 WILLOUGHBY AVE, WEST HOLLYWOOD, CA  90046",-118.362,34.087,1
15535,18671964,08/19/2018 01:00:00 AM,LARCENY THEFT,387,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.083,1
15536,18671625,08/18/2018 04:15:00 PM,LARCENY THEFT,83,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
15673,18695855,09/12/2018 02:55:00 PM,NON-AGGRAVATED ASSAULTS,144,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.392,34.089,2
15719,18560843,04/25/2018 11:00:00 PM,LARCENY THEFT,340,"8400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.374,34.09,1
15764,18794139,12/29/2018 01:45:00 AM,AGGRAVATED ASSAULT,54,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.384,34.085,1
15818,18510086,03/19/2018 08:28:00 PM,GRAND THEFT AUTO,91,"7500 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.355,34.09,1
15893,18572087,01/25/2018 12:00:00 PM,LARCENY THEFT,87,"1500 N MARTEL AVE, LOS ANGELES, CA  90046",-118.35,34.099,1
16226,18678720,08/25/2018 10:19:00 PM,NARCOTICS,185,"8800 CYNTHIA ST, WEST HOLLYWOOD, CA",-118.383,34.087,2
16275,18641253,07/15/2018 04:00:00 AM,LARCENY THEFT,340,"1100 OLIVE DR, WEST HOLLYWOOD, CA",-118.373,34.091,1
16276,18646074,07/22/2018 07:03:00 PM,GRAND THEFT AUTO,91,"800 SWEETZER AVE, WEST HOLLYWOOD, CA",-118.37,34.086,1
16289,18695008,09/12/2018 03:00:00 AM,NON-AGGRAVATED ASSAULTS,146,"700 HUNTLEY DR, WEST HOLLYWOOD, CA  90069",-118.38,34.083,2
16385,18554651,04/19/2018 10:30:00 PM,DRUNK / ALCOHOL / DRUGS,201,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.385,34.083,2
16464,18586102,05/21/2018 07:01:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
16465,18585769,05/21/2018 01:55:00 PM,DRUNK / ALCOHOL / DRUGS,201,"7800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.359,34.09,2
16466,18581823,05/17/2018 10:50:00 AM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
16467,18577771,05/13/2018 12:30:00 PM,LARCENY THEFT,383,"8900 8969 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.083,1
16470,18464370,01/22/2018 02:14:00 AM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
16520,18595055,05/30/2018 02:00:00 PM,MISDEMEANORS MISCELLANEOUS,391,"8500 BEVERLY PL, WEST HOLLYWOOD, CA  90046",-118.377,34.076,2
16521,18586373,05/22/2018 04:45:00 AM,MISDEMEANORS MISCELLANEOUS,399,"600 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.081,2
16522,18586371,05/22/2018 04:45:00 AM,MISDEMEANORS MISCELLANEOUS,399,"600 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.081,2
16527,18591477,05/26/2018 12:29:00 PM,BURGLARY,74,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.367,34.09,1
16764,18593270,05/28/2018 11:36:30 PM,MISDEMEANORS MISCELLANEOUS,399,"500 ORLANDO AVE, WEST HOLLYWOOD, CA",-118.373,34.081,2
16816,18470647,01/28/2018 12:30:00 PM,GRAND THEFT AUTO,91,"8300 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.37,34.095,1
16882,18451941,01/09/2018 10:15:00 PM,NON-AGGRAVATED ASSAULTS,146,"1000 N SIERRA BONITA AVE, WEST HOLLYWOOD, CA",-118.354,34.09,2
16883,18514159,03/12/2018 06:56:00 AM,BURGLARY,64,"1000 SIERRA BONITA AVE, WEST HOLLYWOOD, CA  90069",-118.354,34.09,1
16976,18718872,10/06/2018 06:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"8200 DE LONGPRE AVE, WEST HOLLYWOOD, CA",-118.369,34.095,2
16993,18660164,08/06/2018 10:25:00 PM,NON-AGGRAVATED ASSAULTS,144,"600 LA CIENEGA BLVD, WEST HOLLYWOOD, CA",-118.376,34.082,2
17023,18791800,12/26/2018 04:37:30 AM,LARCENY THEFT,340,"9000 PHYLLIS AVE, WEST HOLLYWOOD, CA  90069",-118.388,34.088,1
17024,18791046,12/24/2018 04:00:00 AM,LARCENY THEFT,340,"500 ALFRED ST, WEST HOLLYWOOD, CA  90048",-118.375,34.08,1
17137,18480458,02/07/2018 12:50:00 AM,VANDALISM,263,"9000 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.388,34.09,2
17236,18653371,07/30/2018 05:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"1200 HAYWORTH AVE, WEST HOLLYWOOD, CA  90046",-118.363,34.092,2
17237,18665583,08/12/2018 04:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"1200 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA",-118.365,34.092,2
17253,18625404,06/28/2018 02:00:00 AM,MISDEMEANORS MISCELLANEOUS,399,"1100 HACIENDA PL, WEST HOLLYWOOD, CA  90069",-118.375,34.092,2
17335,18732709,10/21/2018 11:50:00 PM,DRUNK / ALCOHOL / DRUGS,201,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.393,34.09,2
17360,18665110,08/11/2018 10:51:00 PM,DRUNK / ALCOHOL / DRUGS,201,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.374,34.094,2
17417,18455209,01/12/2018 07:35:00 PM,WEAPON LAWS,151,"FULLER AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.35,34.09,2
17468,18744778,11/02/2018 12:40:00 PM,NARCOTICS,185,"MARTEL AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.351,34.09,2
17484,18730653,08/27/2018 05:00:00 PM,NON-AGGRAVATED ASSAULTS,146,"900 WESTBOURNE DR, WEST HOLLYWOOD, CA",-118.38,34.087,2
17573,18770941,12/02/2018 06:30:00 AM,LARCENY THEFT,340,"1000 CAROL DR, WEST HOLLYWOOD, CA",-118.391,34.089,1
17623,18589991,05/24/2018 11:45:00 PM,NARCOTICS,181,"ROMAINE ST AND FULLER AVE, WEST HOLLYWOOD, CA  90046",-118.349,34.088,2
17639,18701616,09/18/2018 09:10:00 AM,AGGRAVATED ASSAULT,53,"HAVENHURST AVE AND FOUNTAIN AVE, WEST HOLLYWOOD, CA",-118.367,34.094,1
17675,18754971,11/13/2018 11:56:00 PM,NARCOTICS,185,"1200 N LA BREA AVE, WEST HOLLYWOOD, CA  90046",-118.344,34.093,2
17717,18793944,12/28/2018 06:35:00 PM,VANDALISM,263,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.367,34.09,2
17758,18481526,02/07/2018 10:50:00 PM,LARCENY THEFT,383,"7600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.355,34.09,1
17789,18632709,07/08/2018 10:40:00 AM,ROBBERY,42,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.344,34.09,1
17791,18558160,04/23/2018 07:43:00 PM,NON-AGGRAVATED ASSAULTS,145,"8200 DE LONGPRE AVE, WEST HOLLYWOOD, CA  90069",-118.369,34.095,2
17793,18560780,04/25/2018 11:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"1200 ORANGE GROVE AVE, WEST HOLLYWOOD, CA  90046",-118.36,34.093,2
17794,18629866,07/05/2018 03:20:00 AM,NON-AGGRAVATED ASSAULTS,146,"SANTA MONICA BLVD AND SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.384,34.085,2
17798,18779009,09/14/2018 11:00:00 PM,GRAND THEFT AUTO,91,"1200 N FLORES ST, WEST HOLLYWOOD, CA",-118.371,34.092,1
17840,18513143,03/08/2018 12:15:00 AM,ROBBERY,31,"ROBERTSON BLVD AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.385,34.084,1
17864,18560342,04/18/2018 11:00:00 AM,NARCOTICS,181,"8800 CYNTHIA STREET, WEST HOLLYWOOD, CA  90069",-118.384,34.087,2
17933,18604903,06/09/2018 03:40:00 AM,NON-AGGRAVATED ASSAULTS,144,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.084,2
18105,18592816,05/28/2018 10:16:00 AM,BURGLARY,71,"1000 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA  90069",-118.365,34.088,1
18112,18676218,08/23/2018 02:16:00 AM,BURGLARY,72,"600 N WEST KNOLL DR, WEST HOLLYWOOD, CA  90069",-118.377,34.082,1
18137,18580309,05/15/2018 05:09:00 PM,FELONIES MISCELLANEOUS,324,"1100 N FAIRFAX AVE, WEST HOLLYWOOD, CA  90046",-118.361,34.091,2
18158,18473610,01/29/2018 03:00:00 AM,BURGLARY,72,"1400 HAVENHURST AVE, WEST HOLLYWOOD, CA  90046",-118.367,34.096,1
18216,18551893,04/17/2018 01:50:00 PM,NARCOTICS,186,"700 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA",-118.383,34.084,2
18248,18470279,01/27/2018 10:25:00 PM,NARCOTICS,185,"1000 EDINBURGH AVE, WEST HOLLYWOOD, CA  90046",-118.363,34.089,2
18277,18448709,01/06/2018 11:30:00 AM,AGGRAVATED ASSAULT,52,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.351,34.092,1
18300,18674067,08/21/2018 11:15:00 AM,FELONIES MISCELLANEOUS,339,"900 DOHENY DR, WEST HOLLYWOOD, CA  90069",-118.39,34.089,2
18304,18627169,07/01/2018 08:00:00 PM,NON-AGGRAVATED ASSAULTS,146,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.085,2
18344,18625053,06/29/2018 10:30:00 AM,NARCOTICS,185,"FOUNTAIN AVE AND HAVENHURST DR, WEST HOLLYWOOD, CA  90069",-118.367,34.094,2
18345,18647190,07/24/2018 12:05:00 AM,ROBBERY,47,"8600 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.379,34.092,1
18435,18467342,01/25/2018 06:55:00 AM,NARCOTICS,185,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.367,34.09,2
18436,18469339,01/26/2018 08:26:00 PM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.351,34.092,2
18466,18444485,01/03/2018 03:35:00 AM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,2
18468,18444505,01/03/2018 04:15:00 AM,NARCOTICS,185,"7400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.352,34.09,2
18469,18795426,12/30/2018 06:00:00 PM,NARCOTICS,182,"7700 W NORTON AVE, WEST HOLLYWOOD, CA  90046",-118.357,34.091,2
18482,18459746,01/17/2018 07:00:00 PM,NARCOTICS,181,"1000 SPAULDING AVE, WEST HOLLYWOOD, CA  90046",-118.357,34.089,2
18501,18759247,11/18/2018 09:00:00 PM,VANDALISM,263,"1200 GARDNER ST, WEST HOLLYWOOD, CA",-118.352,34.093,2
18529,18664435,08/10/2018 12:00:00 AM,NON-AGGRAVATED ASSAULTS,144,"8800 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.384,34.09,2
18584,18648877,07/25/2018 04:00:00 PM,VANDALISM,261,"1100 LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.091,2
18683,18794860,12/30/2018 03:45:00 AM,AGGRAVATED ASSAULT,53,"1000 STANLEY AVE, WEST HOLLYWOOD, CA  90046",-118.356,34.09,1
18688,18470964,01/28/2018 09:20:00 PM,NARCOTICS,185,"FAIRFAX AVE AND FOUNTAIN AVE, WEST HOLLYWOOD, CA",-118.361,34.094,2
18741,18761514,11/21/2018 09:41:00 AM,NARCOTICS,185,"9000 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.388,34.081,2
18742,18762622,11/22/2018 05:50:00 PM,NARCOTICS,185,"MARTEL ST AND ROMAINE ST, WEST HOLLYWOOD, CA",-118.351,34.088,2
18743,18762781,11/23/2018 12:30:00 AM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
18809,18540874,02/24/2018 08:30:00 AM,LARCENY THEFT,87,"1200 SUNSET PLAZA DR, WEST HOLLYWOOD, CA  90069",-118.38,34.092,1
18835,18471660,01/29/2018 03:06:00 PM,NARCOTICS,183,"KINGS RD AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.372,34.09,2
18991,18485852,02/11/2018 12:15:00 AM,LARCENY THEFT,387,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.383,34.085,1
19018,18767272,11/28/2018 10:58:00 AM,LARCENY THEFT,83,"1100 LA BREA AVE, WEST HOLLYWOOD, CA",-118.343,34.09,1
19088,18559559,04/24/2018 09:38:00 PM,ARSON,279,"1200 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA",-118.365,34.092,1
19109,18781097,12/13/2018 01:24:00 PM,LARCENY THEFT,383,"8700 BEVERLY BLVD, WEST HOLLYWOOD, CA",-118.383,34.077,1
19260,18455452,01/13/2018 02:00:00 AM,AGGRAVATED ASSAULT,52,"PALM AVE AND CYNTHIA ST, WEST HOLLYWOOD, CA  90069",-118.382,34.087,1
19289,18674680,08/21/2018 10:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"1300 MILLER DR, WEST HOLLYWOOD, CA",-118.377,34.094,2
19308,18490449,02/15/2018 07:15:00 AM,NARCOTICS,184,"1000 N STANLEY AVE, WEST HOLLYWOOD, CA  90046",-118.356,34.089,2
19332,18676043,08/23/2018 08:05:00 AM,NARCOTICS,185,"7400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.352,34.09,2
19333,18677591,08/24/2018 03:50:00 PM,NARCOTICS,185,"9000 PHYLLIS AVE, WEST HOLLYWOOD, CA",-118.388,34.088,2
19346,18682464,08/25/2018 10:30:00 AM,DISORDERLY CONDUCT,217,"800 LARRABEE AVE, WEST HOLLYWOOD, CA  90069",-118.383,34.086,2
19383,18732058,10/20/2018 03:00:00 AM,ROBBERY,41,"FOUNTAIN AVE AND SPAULDING AVE, WEST HOLLYWOOD, CA",-118.357,34.094,1
19469,18721489,10/09/2018 01:09:00 PM,ROBBERY,42,"1100 LA BREA AVE, WEST HOLLYWOOD, CA  90046",-118.343,34.091,1
19576,18473003,01/30/2018 04:08:00 PM,LARCENY THEFT,83,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
19577,18473271,01/31/2018 02:00:00 AM,NON-AGGRAVATED ASSAULTS,144,"PALM AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.382,34.086,2
19586,18473444,01/31/2018 01:45:00 AM,LARCENY THEFT,342,"900 FAIRFAX AVE, WEST HOLLYWOOD, CA",-118.361,34.087,1
19593,18475187,02/01/2018 01:45:00 AM,VANDALISM,263,"900 ORANGE GROVE AVE, WEST HOLLYWOOD, CA  90046",-118.36,34.087,2
19597,18475602,02/01/2018 01:00:00 AM,VANDALISM,261,"1000 EDINBURGH AVE, WEST HOLLYWOOD, CA  90046",-118.363,34.089,2
19601,18476227,02/02/2018 10:00:00 AM,WEAPON LAWS,151,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,2
19609,18632166,07/07/2018 04:30:00 PM,BURGLARY,65,"500 HUNTLEY DR, WEST HOLLYWOOD, CA  90048",-118.38,34.081,1
19610,18632472,07/07/2018 11:02:00 PM,NARCOTICS,185,"SANTA MONICA BLVD AND EDINBURGH AVE, WEST HOLLYWOOD, CA",-118.363,34.09,2
