,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
101900,19198412,02/20/2020 11:54:00 PM,WEAPON LAWS,153,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.392,34.089,2
101963,19341382,08/15/2020 10:52:30 PM,NON-AGGRAVATED ASSAULTS,146,"500 N SWEETZER AVE, WEST HOLLYWOOD, CA  90048",-118.37,34.081,2
101991,19282278,06/05/2020 11:30:00 PM,GRAND THEFT AUTO,91,"1200 N GENNESEE AVE, WEST HOLLYWOOD, CA",-118.358,34.092,1
101994,19212138,03/06/2020 02:30:00 AM,DISORDERLY CONDUCT,212,"8200 SUNSET BLVD, WEST HOLLYWOOD, CA  90046",-118.369,34.096,2
102004,19283048,06/06/2020 08:45:00 AM,SEX OFFENSES MISDEMEANORS,139,"8800 MELROSE AVE, WEST HOLLYWOOD, CA  90046",-118.385,34.08,2
102005,19283036,06/07/2020 12:22:30 AM,LARCENY THEFT,340,"1300 HAVENHURST DR, WEST HOLLYWOOD, CA",-118.367,34.094,1
102284,19466924,12/30/2020 01:30:00 PM,LARCENY THEFT,83,"9000 BEVERLY BLVD, WEST HOLLYWOOD, CA",-118.389,34.077,1
102325,19237192,04/08/2020 06:30:00 AM,LARCENY THEFT,340,"1100 CLARK ST, WEST HOLLYWOOD, CA  90069",-118.385,34.091,1
102326,19237034,04/08/2020 03:50:00 PM,ROBBERY,42,"1000 LA BREA AVE, WEST HOLLYWOOD, CA  90069",-118.344,34.089,1
102329,19235059,04/05/2020 08:03:00 AM,MISDEMEANORS MISCELLANEOUS,399,"800 SWEETZER AVE, WEST HOLLYWOOD, CA  90069",-118.37,34.085,2
102334,19237497,04/09/2020 03:30:00 AM,LARCENY THEFT,389,"800 SWEETZER AVE, WEST HOLLYWOOD, CA",-118.37,34.085,1
102338,19237734,04/09/2020 05:00:00 AM,LARCENY THEFT,386,"300 HUNTLEY DR, WEST HOLLYWOOD, CA  90048",-118.378,34.078,1
102339,19238455,04/10/2020 09:30:00 AM,BURGLARY,65,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
102345,19236727,04/07/2020 05:00:00 PM,LARCENY THEFT,389,"600 ORLANDO AVE, WEST HOLLYWOOD, CA",-118.373,34.082,1
102482,19315316,07/16/2020 01:55:00 AM,NARCOTICS,181,"1200 LA BREA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.093,2
102610,19269515,05/21/2020 01:30:00 PM,LARCENY THEFT,387,"900 WESTBOURNE DR, WEST HOLLYWOOD, CA  90069",-118.38,34.087,1
102616,19237420,04/08/2020 11:00:00 PM,VANDALISM,263,"1100 N LA CIENEGA BLVD, LOS ANGELES, CA  90069",-118.376,34.09,2
102951,19238270,04/08/2020 04:08:00 AM,BURGLARY,73,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.368,34.09,1
103038,19289929,06/15/2020 10:15:00 PM,LARCENY THEFT,386,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,1
103143,19240304,04/13/2020 07:25:00 PM,LARCENY THEFT,389,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
103166,19206100,02/26/2020 01:30:00 PM,VANDALISM,263,"1200 FLORES ST, WEST HOLLYWOOD, CA",-118.371,34.093,2
103202,19290391,05/30/2020 08:00:00 PM,VANDALISM,263,"1000 LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.089,2
